"id","extralabel","name","latitude","longitude","country"
"FR9900001466","FreightTerminal","Jessains","48.2846305","4.5830311","France"
"FR0000006463","DepotOrWorkshop","faisceau Pair","48.5951891","4.583896","France"
"FR0000007116","DepotOrWorkshop","Faisceau Chantier V","48.7173461","4.5845677","France"
"FR0000007278","DepotOrWorkshop","Faisceau  V4 à V22","48.7173743","4.5848258","France"
"FR0000001843","Junction","Bif 001000/015000","48.2835915","4.5848677","France"
"FR0000011482","Junction","Accès à faisceau Pair","48.6007051","4.5850657","France"
"FR9900001899","FreightTerminal","Chavanges","48.5086372","4.5860316","France"
"FR0000002071","Junction","Bif 013000/070000","48.7175423","4.5862757","France"
"FR0000000006","Junction","Bif 015000/013000","48.4421322","4.5869556","France"
"FR0000004273","Station","Vitry-le-François","48.7177722","4.5875791","France"
"FR0000007693","PrivateSiding","CARB","48.2818115","4.587889","France"
"FR0000007809","DepotOrWorkshop","Faisceau Impair","45.5213018","4.596263","France"
"FR0000012591","Junction","Accès à Faisceau  V4 à V22","48.7191589","4.5979228","France"
"FR0000006522","DepotOrWorkshop","Faisceau Impair V3 à V17","48.7192127","4.5983203","France"
"FR0000008678","PrivateSiding","Syndicat d'aménagement de VITRY MAROLLES","48.7193665","4.5994286","France"
"FR9900003590","Junction","Technical change","45.8101126","4.6008497","France"
"FR9900002098","Junction","Technical change","45.8107351","4.601169","France"
"FR9900001699","Station","Sain-Bel","45.8111237","4.60144","France"
"FR0000004624","Station","Rive-de-Gier","45.5244627","4.6066566","France"
"FR0000006861","DepotOrWorkshop","VAUX EN PRE Faisceau impair 3 à 7","46.6039515","4.6073244","France"
"FR0000013317","Junction","Accès à Faisceau Impair","45.5249523","4.6084559","France"
"FR0000014301","Junction","Accès à Faisceau Atelier","45.8292285","4.615946","France"
"FR9900004467","DepotOrWorkshop","Faisceau de Ham","49.7951426","4.6162888","France"
"FR0000008528","DepotOrWorkshop","Faisceau Atelier","45.8318791","4.6169997","France"
"FR0000022903","DepotOrWorkshop","Faisceau pair","49.7950031","4.6170627","France"
